[2026-05-13 17:46:53] SESSION_START: Face Recognition Experiment
[2026-05-13 17:46:53] SETUP: Model=multiplicativo | Rank=10 | MaxIter=500
[2026-05-13 17:46:53] STATUS: Starting Training Loop...
[17:46:53] [MULT_ALGO] Starting Optimization (MaxIter=500, Tol=0.0001)
[17:46:53] [MULT_ALGO] ITER |  RECON_ERROR  |   DELTA_W  |   DELTA_H  | TIME(s)
-------------------------------------------------------------------------------------
[17:46:53] [MULT_ALGO] 0001 | 3.167002e-01 | 3.2919e-01 | 8.3685e-01 |   0.03
[17:46:53] [MULT_ALGO] 0010 | 3.062545e-01 | 1.1501e-02 | 8.7908e-03 |   0.53
[17:46:54] [MULT_ALGO] 0020 | 2.981260e-01 | 1.3101e-02 | 1.1547e-02 |   1.03
[17:46:54] [MULT_ALGO] 0030 | 2.804229e-01 | 1.7527e-02 | 1.7249e-02 |   1.53
[17:46:55] [MULT_ALGO] 0040 | 2.597927e-01 | 1.4026e-02 | 1.3619e-02 |   2.06
[17:46:55] [MULT_ALGO] 0050 | 2.456396e-01 | 1.1124e-02 | 1.0535e-02 |   2.27
[17:46:55] [MULT_ALGO] 0060 | 2.361773e-01 | 8.4662e-03 | 7.9661e-03 |   2.75
[17:46:56] [MULT_ALGO] 0070 | 2.298440e-01 | 6.8457e-03 | 6.3330e-03 |   3.25
[17:46:56] [MULT_ALGO] 0080 | 2.252041e-01 | 5.7968e-03 | 5.3618e-03 |   3.49
[17:46:57] [MULT_ALGO] 0090 | 2.215988e-01 | 5.0334e-03 | 4.6253e-03 |   3.95
[17:46:57] [MULT_ALGO] 0100 | 2.187514e-01 | 4.3728e-03 | 3.9717e-03 |   4.20
[17:46:57] [MULT_ALGO] 0110 | 2.165254e-01 | 3.7390e-03 | 3.3844e-03 |   4.64
[17:46:58] [MULT_ALGO] 0120 | 2.148107e-01 | 3.1596e-03 | 2.8907e-03 |   4.86
[17:46:58] [MULT_ALGO] 0130 | 2.134977e-01 | 2.6702e-03 | 2.4902e-03 |   5.35
[17:46:58] [MULT_ALGO] 0140 | 2.124887e-01 | 2.2720e-03 | 2.1638e-03 |   5.57
[17:46:59] [MULT_ALGO] 0150 | 2.117030e-01 | 1.9485e-03 | 1.9088e-03 |   6.05
[17:46:59] [MULT_ALGO] 0160 | 2.110788e-01 | 1.6921e-03 | 1.7255e-03 |   6.26
[17:46:59] [MULT_ALGO] 0170 | 2.105761e-01 | 1.4959e-03 | 1.5650e-03 |   6.51
[17:47:00] [MULT_ALGO] 0180 | 2.101688e-01 | 1.3430e-03 | 1.3984e-03 |   6.97
[17:47:00] [MULT_ALGO] 0190 | 2.098329e-01 | 1.2230e-03 | 1.2588e-03 |   7.18
